fb_id,medium,published,reactions,comments,share,like,love,excellent,funny,sad,angry,yes,no
12987765,video,3/30/2018 8:28,135,256,79,117,18,0,0,0,0,1,0
12987766,video,3/26/2018 8:28,150,173,47,132,16,1,0,1,0,1,0
12987767,video,3/23/2018 7:09,221,166,36,192,28,0,1,0,0,1,0
12987768,photo,3/22/2018 1:25,152,2,0,149,3,0,0,0,0,0,1
12987769,photo,3/21/2018 8:40,234,15,1,221,12,1,0,0,0,0,1
12987770,photo,3/21/2018 7:46,227,7,1,217,7,2,1,0,0,0,1
12987771,photo,3/20/2018 1:54,98,0,0,96,0,2,0,0,0,0,1
12987772,video,3/20/2018 1:28,18,0,0,18,0,0,0,0,0,0,1
12987773,photo,3/20/2018 0:15,102,0,0,100,0,2,0,0,0,0,1
12987774,video,3/19/2018 22:34,37,0,1,37,0,0,0,0,0,1,0
12987775,video,3/17/2018 8:07,75,36,14,70,5,0,0,0,0,1,0
12987776,video,3/17/2018 7:47,90,78,9,85,5,0,0,0,0,1,0
12987777,photo,03/12/2018,145,9,0,138,7,0,0,0,0,1,0
12987778,video,03/09/2018,253,300,31,229,22,1,1,0,0,1,0
12987779,photo,03/09/2018,85,0,0,81,2,2,0,0,0,1,0
12987780,video,03/07/2018,45,14,0,40,5,0,0,0,0,1,0
12987781,photo,03/07/2018,92,0,0,85,4,2,1,0,0,0,1
12987782,photo,03/07/2018,125,1,0,116,8,1,0,0,0,0,1
12987783,photo,03/05/2018,119,4,0,116,3,0,0,0,0,0,1
12987784,photo,03/05/2018,293,8,0,281,11,1,0,0,0,0,1
12987785,video,03/02/2018,128,137,26,110,16,2,0,0,0,0,1
12987786,photo,2/28/2018 8:19,84,15,13,78,5,1,0,0,0,0,1
12987787,photo,2/28/2018 1:43,66,11,6,61,4,1,0,0,0,1,0
12987788,video,2/26/2018 8:50,171,292,28,150,19,1,1,0,0,1,0
12987789,video,2/25/2018 10:13,90,72,23,79,10,1,0,0,0,1,0
12987790,video,2/21/2018 0:19,139,39,9,121,16,1,1,0,0,1,0
12987791,video,1/21/2018 9:10,272,258,43,226,44,1,1,0,0,0,1
12987792,video,1/20/2018 23:10,248,247,34,208,33,3,2,0,2,0,1
12987793,video,1/20/2018 9:08,132,89,40,110,20,1,0,0,1,0,1
12987794,video,1/19/2018 9:16,226,341,41,196,30,0,0,0,0,0,1
12987795,video,1/19/2018 9:06,35,1,0,35,0,0,0,0,0,1,0
12987796,video,1/18/2018 8:54,219,316,36,170,46,3,0,0,0,1,0
12987797,video,1/18/2018 5:08,94,1,1,94,0,0,0,0,0,1,0
12987798,video,1/17/2018 9:29,259,368,50,234,25,0,0,0,0,1,0
12987799,video,1/16/2018 22:36,62,1,0,62,0,0,0,0,0,1,0
12987800,video,1/16/2018 22:13,127,76,21,114,13,0,0,0,0,1,0
12987801,video,1/16/2018 0:53,149,63,15,134,15,0,0,0,0,1,0
12987802,video,1/13/2018 9:18,134,171,41,116,18,0,0,0,0,0,1
12987803,video,01/11/2018,392,461,47,360,32,0,0,0,0,0,1
12987804,video,01/10/2018,310,540,41,284,26,0,0,0,0,0,1
12987805,photo,01/02/2018,14,3,0,12,2,0,0,0,0,0,1
12987806,photo,12/26/2017 6:23,293,6,1,275,15,3,0,0,0,0,1
12987807,photo,12/24/2017 10:28,236,12,0,226,8,1,1,0,0,0,1
12987808,photo,12/21/2017 8:14,312,10,0,291,18,3,0,0,0,1,0
12987809,photo,12/10/2017,24,12,0,24,0,0,0,0,0,1,0
12987810,link,12/08/2017,16,9,0,15,1,0,0,0,0,1,0
12987811,photo,12/07/2017,33,12,0,32,1,0,0,0,0,1,0
12987812,photo,12/05/2017,675,10,0,645,29,1,0,0,0,1,0
12987813,photo,12/04/2017,737,18,0,697,31,9,0,0,0,1,0
12987814,photo,12/03/2017,572,16,0,554,16,2,0,0,0,0,1
12987815,photo,11/22/2017 22:14,23,7,0,20,3,0,0,0,0,0,1
12987816,photo,11/21/2017 1:37,266,25,0,250,11,5,0,0,0,0,1
12987817,video,11/21/2017 0:22,378,512,30,348,27,2,0,0,1,0,1
12987818,video,11/18/2017 22:32,421,709,30,373,45,2,0,1,0,0,1
12987819,video,11/18/2017 1:23,1493,1979,753,1333,139,9,3,8,1,0,1
12987820,photo,11/16/2017 0:01,76,17,0,76,0,0,0,0,0,1,0
12987821,photo,11/09/2017,36,11,0,34,2,0,0,0,0,1,0
12987822,photo,11/02/2017,19,8,0,18,0,0,1,0,0,1,0
12987823,photo,10/30/2017 23:46,27,10,0,27,0,0,0,0,0,1,0
12987824,photo,10/26/2017 12:02,117,2,53,108,9,0,0,0,0,1,0
12987825,photo,10/26/2017 11:53,146,1,0,145,1,0,0,0,0,1,0
12987826,photo,10/25/2017 22:45,166,0,13,151,7,0,0,8,0,1,0
12987827,photo,10/25/2017 22:29,190,0,31,171,0,0,0,19,0,0,1
12987828,photo,10/24/2017 3:55,217,16,0,213,4,0,0,0,0,0,1
12987829,photo,10/24/2017 1:20,458,14,0,451,3,4,0,0,0,0,1
12987830,photo,10/23/2017 3:52,553,15,0,538,12,3,0,0,0,0,1
12987831,photo,10/23/2017 3:23,203,18,11,190,7,6,0,0,0,0,1
12987832,video,2/19/2018 0:11,236,181,21,201,33,0,1,0,1,1,0
12987833,video,2/18/2018 7:15,225,210,34,193,30,0,2,0,0,1,0
12987834,photo,2/17/2018 22:30,275,12,0,260,11,4,0,0,0,0,1
12987835,video,2/17/2018 4:15,372,456,37,334,31,1,1,1,4,0,1
12987836,photo,2/15/2018 3:47,445,9,0,419,23,3,0,0,0,0,1
12987837,video,2/14/2018 8:23,128,60,11,114,13,0,0,0,1,0,1
12987838,video,2/13/2018 1:16,186,235,46,163,19,0,3,0,1,0,1
12987839,video,02/12/2018,309,444,36,254,42,2,8,3,0,0,1
12987840,photo,02/11/2018,77,11,3,75,2,0,0,0,0,1,0
12987841,video,02/10/2018,119,72,28,103,16,0,0,0,0,1,0
12987842,photo,02/09/2018,100,21,13,95,5,0,0,0,0,1,0
12987843,video,02/08/2018,240,255,111,193,44,1,1,0,1,1,0
12987844,video,02/07/2018,164,136,48,146,15,2,0,1,0,1,0
12987845,video,02/06/2018,202,327,42,171,30,1,0,0,0,1,0
12987846,video,02/05/2018,211,284,46,186,25,0,0,0,0,1,0
12987847,video,02/04/2018,148,114,16,136,10,0,2,0,0,0,1
12987848,video,02/03/2018,97,81,16,84,13,0,0,0,0,0,1
12987849,video,02/02/2018,279,292,34,254,20,3,1,1,0,0,1
12987850,photo,02/02/2018,263,8,0,245,14,4,0,0,0,0,1
12987851,video,02/02/2018,177,193,34,151,25,1,0,0,0,0,1
12987852,photo,1/28/2018 7:50,517,32,1,484,26,7,0,0,0,0,1
12987853,video,1/28/2018 5:25,289,258,33,256,33,0,0,0,0,1,0
12987854,photo,1/26/2018 13:03,66,13,0,65,1,0,0,0,0,1,0
12987855,photo,1/26/2018 13:02,112,6,0,104,8,0,0,0,0,1,0
12987856,video,1/26/2018 8:47,206,259,48,181,22,1,2,0,0,1,0
12987857,video,4/22/2018 6:00,529,512,262,432,92,3,1,1,0,1,0
12987858,photo,4/21/2018 22:45,150,0,0,150,0,0,0,0,0,1,0
12987859,video,4/21/2018 6:17,227,236,57,204,21,1,1,0,0,1,0
12987860,photo,4/21/2018 2:29,111,0,0,111,0,0,0,0,0,1,0
12987861,photo,4/18/2018 3:22,213,0,0,204,9,0,0,0,0,1,0
12987862,photo,4/18/2018 2:14,217,6,0,211,5,1,0,0,0,1,0
12987863,video,4/18/2018 0:24,503,614,72,418,70,10,2,0,3,1,0
12987864,video,4/17/2018 7:42,295,453,53,260,32,1,1,0,1,0,1
12987865,photo,4/17/2018 3:33,203,1,0,198,5,0,0,0,0,0,1
12987866,photo,04/11/2018,170,9,1,167,3,0,0,0,0,0,1
12987867,photo,04/10/2018,210,2,3,202,7,1,0,0,0,0,1
12987868,photo,04/09/2018,222,4,0,213,5,4,0,0,0,0,1
12987869,photo,04/08/2018,313,4,2,305,6,2,0,0,0,0,1
12987870,photo,04/08/2018,209,4,0,200,8,1,0,0,0,1,0
12987871,photo,04/05/2018,346,11,0,335,10,1,0,0,0,1,0
12987872,video,04/01/2018,332,100,30,303,23,1,5,0,0,1,0
12987873,video,3/30/2018 8:28,135,256,79,117,18,0,0,0,0,1,0
12987874,video,3/26/2018 8:28,150,173,47,132,16,1,0,1,0,1,0
12987875,video,3/23/2018 7:09,221,166,36,192,28,0,1,0,0,1,0
12987876,photo,3/22/2018 1:25,152,2,0,149,3,0,0,0,0,0,1
12987877,photo,3/21/2018 8:40,234,15,1,221,12,1,0,0,0,0,1
12987878,photo,3/21/2018 7:46,227,7,1,217,7,2,1,0,0,0,1
12987879,photo,3/20/2018 1:54,98,0,0,96,0,2,0,0,0,0,1
12987880,video,3/20/2018 1:28,18,0,0,18,0,0,0,0,0,0,1
12987881,photo,3/20/2018 0:15,102,0,0,100,0,2,0,0,0,0,1
12987882,video,3/19/2018 22:34,37,0,1,37,0,0,0,0,0,1,0
12987883,video,3/17/2018 8:07,75,36,14,70,5,0,0,0,0,1,0
12987884,video,3/17/2018 7:47,90,78,9,85,5,0,0,0,0,1,0
12987885,photo,03/12/2018,145,9,0,138,7,0,0,0,0,1,0
12987886,video,03/09/2018,253,300,31,229,22,1,1,0,0,1,0
12987887,photo,03/09/2018,85,0,0,81,2,2,0,0,0,1,0
12987888,video,03/07/2018,45,14,0,40,5,0,0,0,0,1,0
12987889,video,1/25/2018 8:40,362,468,86,305,56,0,0,1,0,1,0
12987890,video,1/23/2018 9:04,184,130,51,161,23,0,0,0,0,1,0
12987891,video,1/22/2018 9:37,216,251,34,199,16,0,0,0,1,0,1
12987892,video,1/22/2018 9:15,57,0,0,56,1,0,0,0,0,0,1
12987893,video,1/21/2018 9:10,272,258,43,226,44,1,1,0,0,0,1
12987894,video,1/20/2018 23:10,248,247,34,208,33,3,2,0,2,0,1
12987895,video,1/20/2018 9:08,132,89,40,110,20,1,0,0,1,0,1
12987896,video,1/19/2018 9:16,226,341,41,196,30,0,0,0,0,0,1
12987897,video,1/19/2018 9:06,35,1,0,35,0,0,0,0,0,1,0
12987898,video,1/18/2018 8:54,219,316,36,170,46,3,0,0,0,1,0
12987899,video,1/18/2018 5:08,94,1,1,94,0,0,0,0,0,1,0
12987900,video,1/17/2018 9:29,259,368,50,234,25,0,0,0,0,1,0
12987901,video,1/16/2018 22:36,62,1,0,62,0,0,0,0,0,1,0
12987902,video,1/16/2018 22:13,127,76,21,114,13,0,0,0,0,1,0
12987903,video,1/16/2018 0:53,149,63,15,134,15,0,0,0,0,1,0
12987904,video,1/13/2018 9:18,134,171,41,116,18,0,0,0,0,0,1
12987905,video,01/11/2018,392,461,47,360,32,0,0,0,0,0,1
12987906,video,01/10/2018,310,540,41,284,26,0,0,0,0,0,1
12987907,photo,01/02/2018,14,3,0,12,2,0,0,0,0,0,1
12987908,photo,12/26/2017 6:23,293,6,1,275,15,3,0,0,0,0,1
12987909,photo,12/24/2017 10:28,236,12,0,226,8,1,1,0,0,0,1
12987910,photo,12/21/2017 8:14,312,10,0,291,18,3,0,0,0,1,0
12987911,photo,12/10/2017,24,12,0,24,0,0,0,0,0,1,0
12987912,link,12/08/2017,16,9,0,15,1,0,0,0,0,1,0
12987913,photo,12/07/2017,33,12,0,32,1,0,0,0,0,1,0
12987914,photo,12/05/2017,675,10,0,645,29,1,0,0,0,1,0
12987915,photo,12/04/2017,737,18,0,697,31,9,0,0,0,1,0
12987916,photo,12/03/2017,572,16,0,554,16,2,0,0,0,0,1
12987917,photo,11/22/2017 22:14,23,7,0,20,3,0,0,0,0,0,1
12987918,photo,11/21/2017 1:37,266,25,0,250,11,5,0,0,0,0,1
12987919,video,11/21/2017 0:22,378,512,30,348,27,2,0,0,1,0,1
12987920,video,11/18/2017 22:32,421,709,30,373,45,2,0,1,0,0,1
12987921,video,11/18/2017 1:23,1493,1979,753,1333,139,9,3,8,1,0,1
12987922,photo,11/16/2017 0:01,76,17,0,76,0,0,0,0,0,1,0
12987923,photo,11/09/2017,36,11,0,34,2,0,0,0,0,1,0
12987924,photo,11/02/2017,19,8,0,18,0,0,1,0,0,1,0
12987925,photo,10/30/2017 23:46,27,10,0,27,0,0,0,0,0,1,0
12987926,photo,10/26/2017 12:02,117,2,53,108,9,0,0,0,0,1,0
12987927,photo,10/26/2017 11:53,146,1,0,145,1,0,0,0,0,1,0
12987928,photo,10/25/2017 22:45,166,0,13,151,7,0,0,8,0,1,0
12987929,photo,10/25/2017 22:29,190,0,31,171,0,0,0,19,0,0,1
12987930,photo,10/24/2017 3:55,217,16,0,213,4,0,0,0,0,0,1
12987931,photo,10/24/2017 1:20,458,14,0,451,3,4,0,0,0,0,1
12987932,photo,10/23/2017 3:52,553,15,0,538,12,3,0,0,0,0,1
12987933,photo,10/23/2017 3:23,203,18,11,190,7,6,0,0,0,0,1
12987934,photo,10/22/2017 0:38,1005,25,1,979,16,9,1,0,0,0,1
12987935,video,10/21/2017 23:43,202,145,23,182,19,0,0,0,1,1,0
12987936,photo,10/21/2017 3:19,428,14,0,419,4,5,0,0,0,1,0
12987937,photo,10/20/2017 6:37,479,17,0,462,10,7,0,0,0,1,0
12987938,video,10/20/2017 3:19,212,116,11,201,10,1,0,0,0,1,0
12987939,video,10/19/2017 2:44,225,157,17,211,14,0,0,0,0,1,0
12987940,video,10/18/2017 9:13,171,46,5,156,12,2,1,0,0,1,0
12987941,video,10/18/2017 2:33,247,120,16,232,14,1,0,0,0,0,1
12987942,video,10/17/2017 5:37,269,453,39,242,26,1,0,0,0,0,1
12987943,video,10/17/2017 2:36,258,486,32,235,23,0,0,0,0,0,1
12987944,photo,10/17/2017 1:47,109,2,1,104,5,0,0,0,0,0,1
12987945,photo,10/16/2017 22:47,97,5,0,96,0,1,0,0,0,0,1
12987946,video,10/16/2017 6:37,280,199,25,254,24,2,0,0,0,0,1
12987947,video,10/16/2017 5:25,325,77,21,293,30,1,1,0,0,1,0
12987948,photo,10/15/2017 22:58,51,11,0,51,0,0,0,0,0,1,0
12987949,video,10/15/2017 2:27,280,825,47,243,35,1,1,0,0,1,0
12987950,video,10/14/2017 10:37,688,0,0,632,34,0,0,22,0,1,0
12987951,video,10/14/2017 3:35,365,805,46,320,39,1,3,0,2,1,0
12987952,photo,10/12/2017,295,5,0,295,0,0,0,0,0,1,0
12987953,photo,10/11/2017,27,14,0,26,1,0,0,0,0,1,0
12987954,photo,10/06/2017,15,11,0,15,0,0,0,0,0,0,1
12987955,photo,10/04/2017,16,12,0,16,0,0,0,0,0,0,1
12987956,photo,10/01/2017,29,12,0,29,0,0,0,0,0,0,1
12987957,video,10/01/2017,28,6,0,28,0,0,0,0,0,0,1
12987958,photo,9/28/2017 23:21,8,8,0,8,0,0,0,0,0,0,1
12987959,photo,9/28/2017 0:12,10,9,0,10,0,0,0,0,0,0,1
12987960,photo,9/26/2017 22:39,39,8,0,39,0,0,0,0,0,1,0
12987961,photo,9/25/2017 22:52,49,11,0,47,2,0,0,0,0,1,0
12987962,video,9/24/2017 1:58,226,449,37,189,25,1,1,10,0,1,0
12987963,video,9/24/2017 1:52,104,49,13,91,12,0,0,1,0,1,0
12987964,photo,9/23/2017 3:56,251,17,0,244,7,0,0,0,0,1,0
12987965,video,9/23/2017 0:09,244,589,48,213,29,1,1,0,0,1,0
12987966,video,9/22/2017 8:48,252,558,41,204,45,1,1,0,1,0,1
12987967,video,9/21/2017 8:22,121,15,4,114,4,2,1,0,0,0,1
12987968,photo,9/21/2017 1:50,321,5,0,307,11,2,1,0,0,0,1
12987969,photo,9/21/2017 0:26,103,8,3,99,4,0,0,0,0,0,1
12987970,video,9/20/2017 23:43,136,31,16,122,14,0,0,0,0,0,1
12987971,video,9/20/2017 21:25,337,247,27,300,35,1,1,0,0,0,1
12987972,photo,9/20/2017 9:47,648,13,0,627,18,3,0,0,0,1,0
12987973,video,9/20/2017 0:19,175,157,14,157,18,0,0,0,0,1,0
12987974,video,9/19/2017 7:39,339,424,36,296,38,1,4,0,0,1,0
12987975,photo,9/19/2017 6:44,341,3,0,331,8,2,0,0,0,1,0
12987976,video,9/19/2017 0:40,177,131,27,150,27,0,0,0,0,1,0
12987977,photo,9/13/2017 3:48,201,0,0,195,4,2,0,0,0,1,0
12987978,photo,09/12/2017,43,7,0,41,2,0,0,0,0,1,0
12987979,photo,09/11/2017,40,7,0,39,1,0,0,0,0,0,1
12987980,photo,09/07/2017,58,14,0,57,1,0,0,0,0,0,1
12987981,video,09/07/2017,403,525,42,363,36,1,3,0,0,0,1
12987982,photo,09/07/2017,148,4,3,144,4,0,0,0,0,0,1
12987983,photo,09/06/2017,150,24,2,144,6,0,0,0,0,0,1
12987984,photo,09/06/2017,53,12,0,53,0,0,0,0,0,0,1
12987985,status,09/06/2017,144,15,8,140,4,0,0,0,0,1,0
12987986,video,09/06/2017,298,491,46,262,34,2,0,0,0,1,0
12987987,photo,09/06/2017,171,4,1,166,5,0,0,0,0,1,0
12987988,photo,09/03/2017,4410,633,257,4315,73,17,5,0,0,1,0
12987989,video,8/31/2017 8:50,374,588,46,327,47,0,0,0,0,1,0
12987990,photo,8/30/2017 8:38,181,20,0,180,1,0,0,0,0,1,0
12987991,photo,8/27/2017 9:46,267,20,1,249,8,10,0,0,0,0,1
12987992,photo,8/27/2017 4:54,60,7,0,59,1,0,0,0,0,0,1
12987993,photo,8/25/2017 7:36,98,23,5,95,2,1,0,0,0,0,1
12987994,video,8/25/2017 2:29,26,7,0,26,0,0,0,0,0,0,1
12987995,photo,8/24/2017 2:18,255,18,0,244,11,0,0,0,0,0,1
12987996,photo,8/23/2017 6:15,174,6,1,167,5,2,0,0,0,0,1
12987997,photo,8/22/2017 10:59,64,5,1,59,5,0,0,0,0,1,0
12987998,photo,8/22/2017 10:32,62,3,0,58,4,0,0,0,0,1,0
12987999,video,8/22/2017 1:40,192,417,40,168,22,1,1,0,0,1,0
12988000,photo,8/22/2017 0:09,110,18,6,110,0,0,0,0,0,1,0
12988001,photo,8/22/2017 0:08,119,12,7,117,2,0,0,0,0,1,0
12988002,photo,8/20/2017 4:41,42,11,0,41,0,1,0,0,0,1,0
12988003,video,8/19/2017 23:14,234,355,34,178,52,2,0,1,1,1,0
12988004,photo,8/18/2017 11:35,54,10,0,53,1,0,0,0,0,0,1
12988005,photo,8/18/2017 11:33,82,8,0,80,1,0,0,1,0,0,1
12988006,photo,8/18/2017 8:36,18,8,0,18,0,0,0,0,0,0,1
12988007,photo,8/15/2017 9:58,147,17,7,141,5,1,0,0,0,0,1
12988008,video,3/20/2018 1:28,18,0,0,18,0,0,0,0,0,0,1
12988009,photo,3/20/2018 0:15,102,0,0,100,0,2,0,0,0,0,1
12988010,video,3/19/2018 22:34,37,0,1,37,0,0,0,0,0,1,0
12988011,video,3/17/2018 8:07,75,36,14,70,5,0,0,0,0,1,0
12988012,video,3/17/2018 7:47,90,78,9,85,5,0,0,0,0,1,0
12988013,photo,03/12/2018,145,9,0,138,7,0,0,0,0,1,0
12988014,video,03/09/2018,253,300,31,229,22,1,1,0,0,1,0
12988015,photo,03/09/2018,85,0,0,81,2,2,0,0,0,1,0
12988016,video,03/07/2018,45,14,0,40,5,0,0,0,0,1,0
