"","age","marital","race","education","job_class","health_ins","height","daily_wage","ageNum"
"32","51","Married","1","Some College","Information","Yes",69,101.4020523,51
"33","33","Never Married","1","Advanced Degree","Industrial","No",67,81.28325328,33
"34","34","Never Married","1","HS Grad","Industrial","No",66,111.7208494,34
"35","36","Married","1","College Grad","Information","Yes",65,89.88004678,36
"36","56","Never Married","1","Advanced Degree","Information","Yes",71,87.98103279,56
"37","70","Never Married","1","College Grad","Industrial","Yes",69,87.98103279,70
"38","25","Never Married","1","College Grad","Industrial","Yes",72,103.9024706,25
"39","32","Married","1","Some College","Industrial","No",69,105.9278108,32
"40","27","Married","1","< HS Grad","Industrial","No",70,66.22940829,27
"41","28","Married","3","College Grad","Industrial","No",74,34.60741773,28
"42","27","Never Married","1","College Grad","Information","Yes",68,109.8339856,27
"43","43","Never Married","1","< HS Grad","Industrial","No",70,45.28216999,43
"44","5O","Never Married","4","< HS Grad","Industrial","Yes",70,73.77574327,50
"45","39","Married","2","HS Grad","Information","No",71,81.28325328,39
"46","52","Married","1","Advanced Degree","Industrial","Yes",70,154.685293,52
"47","35","Married","1","College Grad","Industrial","Yes",66,267.9010869,35
"48","57","Married","1","Advanced Degree","Information","Yes",64,176.9896505,57
"49","25","Never Married","1","< HS Grad","Industrial","No",71,66.22940829,25
"50","33","Never Married","1","HS Grad","Information","Yes",66,116.2653241,33
"51","57","Married","1","Advanced Degree","Information","No",71,200.5432623,57
"52","71","Married","1","Some College","Industrial","Yes",68,101.8243521,71
"53","43","Married","1","College Grad","Industrial","Yes",64,272.2947832,43
"54","23","Never Married","1","Some College","Industrial","No",68,35.03342132,23
"55","30","Never Married","1","Advanced Degree","Information","Yes",77,114.4757133,30
"56","22","Never Married","2","HS Grad","Information","Yes",68,81.28325328,22
"57","59","Married","1","Advanced Degree","Information","Yes",69,200.5432623,59
"58","28","Never Married","3","College Grad","Information","Yes",65,148.4131591,28
"59","61","Married","1","HS Grad","Industrial","Yes",75,99.6894637,61
"60","34","Married","1","HS Grad","Information","Yes",72,111.7208494,34
"61","43","Married","1","College Grad","Industrial","Yes",69,152.838801,43
"62","54","Married","1","Some College","Industrial","No",72,117.1468169,54
"63","69","Married","1","HS Grad","Industrial","Yes",72,77.7376033,69
"64","41","Married","1","Some College","Industrial","Yes",66,87.98103279,41
"65","48","Married","1","Advanced Degree","Information","Yes",76,125.5254984,48
"66","49","Married","1","Some College","Information","Yes",71,123.336104,49
"67","42","Married","1","HS Grad","Industrial","Yes",68,158.2946214,42
"68","37","Married","1","College Grad","Information","Yes",65,200.5432623,37
"69","55","Married","3","HS Grad","Industrial","Yes",74,99.6894637,55
"70","21","Never Married","2","HS Grad","Industrial","No",69,70.47601965,21
"71","58","Married","1","HS Grad","Information","Yes",71,94.07271475,58
"72","31","Never Married","1","HS Grad","Industrial","No",69,81.28325328,31
"73","25","Never Married","1","HS Grad","Industrial","Yes",66,81.28325328,25
"74","32","Never Married","1","Some College","Information","Yes",71,100.7642728,32
"75","40","Never Married","2","< HS Grad","Information","Yes",60,94.07271475,40
"76","44","Married","1","Advanced Degree","Information","No",68,99.6894637,44
"77","60","Married","1","College Grad","Industrial","Yes",68,268.266292,60
"78","23","Never Married","1","< HS Grad","Industrial","Yes",69,81.28325328,23
"79","63","Married","1","HS Grad","Information","No",73,113.5670896,63
"80","44","Never Married","1","< HS Grad","Industrial","No",73,87.98103279,44
"81","47","Married","3","Advanced Degree","Information","Yes",67,128.6804882,47
"82","61","Married","1","Some College","Industrial","Yes",75,106.7239776,61
"83","55","Married","1","Advanced Degree","Information","No",71,66.04469423,55
"84","24","Never Married","1","< HS Grad","Industrial","No",66,51.52195631,24
"85","42","Widowed","1","HS Grad","Industrial","Yes",70,85.38394038,42
"86","25","Married","1","HS Grad","Information","Yes",67,76.89360252,25
"87","34","Divorced","1","HS Grad","Industrial","No",73,90.48191336,34
"88","53","Married","1","< HS Grad","Information","No",71,68.07642829,53
"89","53","Married","1","College Grad","Information","Yes",67,130.9821774,53
"90","70","Married","3","Advanced Degree","Information","No",69,127.901233,70
"91","47","Married","1","College Grad","Information","Yes",68,131.2245938,47
"92","46","Married","1","HS Grad","Industrial","Yes",72,99.6894637,46
"93","33","Divorced","1","< HS Grad","Industrial","Yes",72,76.89360252,33
"94","34","Married","1","Advanced Degree","Information","Yes",65,107.9039239,34
"95","22","Never Married","1","HS Grad","Industrial","No",70,81.28325328,22
"96","74","Married","1","HS Grad","Industrial","Yes",71,99.6894637,74
"97","40","Married","2","Some College","Information","Yes",73,98.59934386,40
"98","45","Married","1","College Grad","Information","Yes",65,200.5432623,45
"99","43","Married","3","College Grad","Information","Yes",74,156.5035109,43
"100","33","Married","3","College Grad","Information","Yes",68,144.944365,33
"101","62","Married","2","College Grad","Information","Yes",68,118.8843593,62
"102","37","Married","1","College Grad","Information","Yes",72,121.4303138,37
"103","54","Married","1","HS Grad","Information","Yes",66,111.7208494,54
"104","34","Married","1","Some College","Industrial","No",72,68.74808773,34
"105","50","Never Married","1","College Grad","Information","Yes",69,114.4757133,50
"106","46","Divorced","1","Some College","Industrial","Yes",72,95.23071257,46
"107","41","Married","1","< HS Grad","Industrial","No",67,87.98103279,41
"108","63","Divorced","2","Some College","Industrial","Yes",71,64.27439722,63
"109","38","Married","1","Some College","Industrial","Yes",69,128.6804882,38
"110","35","Married","1","Some College","Industrial","Yes",65,114.4757133,35
"111","29","Married","1","College Grad","Information","Yes",69,112.6488963,29
"112","66","Married","1","< HS Grad","Industrial","Yes",70,81.28325328,66
"113","37","Married","1","HS Grad","Information","Yes",72,75.89548482,37
"114","39","Married","2","HS Grad","Information","Yes",65,112.136923,39
"115","42","Married","1","HS Grad","Industrial","No",72,85.38394038,42
"116","51","Divorced","1","HS Grad","Industrial","Yes",64,94.07271475,51
"117","55","Married","3","Advanced Degree","Industrial","Yes",66,114.4757133,55
"118","51","Married","1","Advanced Degree","Industrial","Yes",75,176.9896505,51
"119","38","Married","1","Advanced Degree","Industrial","Yes",65,276.7784133,38
"120","49","Married","1","HS Grad","Information","Yes",75,101.8243521,49
"121","42","Married","1","HS Grad","Information","No",70,91.69922611,42
"122","43","Separated","1","< HS Grad","Information","No",72,86.69515483,43
"123","38","Married","1","College Grad","Information","Yes",69,162.9464607,38
"124","59","Married","3","HS Grad","Industrial","Yes",68,139.2137881,59
"125","57","Married","1","Some College","Industrial","Yes",69,95.23071257,57
"126","25","Never Married","1","HS Grad","Industrial","No",65,66.96164432,25
"127","49","Married","1","College Grad","Industrial","Yes",70,131.1943236,49
"128","41","Married","1","< HS Grad","Industrial","Yes",71,90.48191336,41
"129","38","Married","1","HS Grad","Industrial","Yes",66,114.4757133,38
"130","61","Married","1","Advanced Degree","Industrial","Yes",75,79.1280845,61
"131","49","Divorced","1","HS Grad","Industrial","Yes",70,104.5917379,49
"132","52","Divorced","1","Advanced Degree","Information","Yes",69,132.4878211,52
"133","43","Married","1","Advanced Degree","Information","Yes",66,141.7751723,43
"134","60","Married","1","College Grad","Information","Yes",70,123.0896998,60
"135","46","Married","3","Advanced Degree","Information","Yes",73,134.7053751,46
"136","21","Never Married","1","HS Grad","Information","No",67,55.76739051,21
"137","61","Married","1","College Grad","Industrial","Yes",64,106.9218141,61
"138","32","Married","2","Advanced Degree","Information","Yes",69,118.8843593,32
"139","58","Married","1","HS Grad","Information","Yes",68,87.98103279,58
"140","35","Never Married","1","HS Grad","Information","Yes",64,88.92960664,35
"141","26","Never Married","2","HS Grad","Information","Yes",69,81.28325328,26
"142","32","Never Married","2","HS Grad","Industrial","No",68,94.07271475,32
"143","37","Married","1","HS Grad","Information","Yes",76,106.9218141,37
"144","22","Never Married","3","HS Grad","Industrial","No",72,59.09706408,22
"145","51","Never Married","1","HS Grad","Industrial","No",64,65.11085372,51
"146","44","Divorced","1","Advanced Degree","Information","Yes",69,120.5894365,44
"147","35","Married","3","Advanced Degree","Industrial","Yes",66,157.7005277,35
"148","60","Married","1","HS Grad","Information","Yes",73,129.4536446,60
"149","40","Married","1","College Grad","Information","Yes",63,176.9896505,40
"150","35","Never Married","1","< HS Grad","Information","No",71,59.09706408,35
"151","35","Married","1","Advanced Degree","Information","No",67,94.07271475,35
"152","47","Married","1","HS Grad","Industrial","Yes",67,134.7053751,47
"153","43","Never Married","1","College Grad","Information","Yes",69,81.28325328,43
"154","33","Married","1","< HS Grad","Industrial","Yes",67,81.28325328,33
"155","60","Divorced","1","Advanced Degree","Industrial","Yes",75,153.4575153,60
"156","38","Married","3","Advanced Degree","Industrial","Yes",71,136.8763676,38
"157","53","Married","1","HS Grad","Information","No",70,75.04315402,53
"158","55","Married","1","Some College","Information","Yes",66,130.2208324,55
"159","57","Married","2","HS Grad","Information","No",67,104.9215065,57
"160","64","Married","1","College Grad","Information","No",69,49.55533812,64
"161","43","Married","1","HS Grad","Industrial","Yes",71,123.9085676,43
"162","35","Married","2","Some College","Information","Yes",73,123.0896998,35
"163","54","Married","1","HS Grad","Information","No",70,78.15516141,54
"164","45","Married","1","HS Grad","Information","Yes",66,73.77574327,45
"165","58","Divorced","3","College Grad","Information","Yes",72,138.2991269,58
"166","48","Married","1","College Grad","Information","No",70,127.1157438,48
"167","46","Married","3","< HS Grad","Industrial","Yes",69,68.74808773,46
"168","46","Married","1","HS Grad","Industrial","Yes",69,84.39111475,46
"169","55","Married","1","< HS Grad","Industrial","Yes",68,85.38394038,55
"170","51","Married","1","Some College","Industrial","Yes",64,128.6804882,51
"171","49","Married","1","Some College","Industrial","Yes",68,70.47601965,49
"172","34","Never Married","1","Some College","Industrial","Yes",70,76.89360252,34
"173","53","Married","1","Some College","Industrial","No",73,148.4131591,53
"174","40","Married","1","Some College","Industrial","Yes",74,148.4131591,40
"175","50","Married","1","Some College","Industrial","Yes",70,175.9608831,50
"176","37","Divorced","1","< HS Grad","Information","Yes",71,98.59934386,37
"177","39","Married","1","Some College","Industrial","Yes",72,145.1436012,39
"178","52","Married","1","College Grad","Industrial","Yes",66,99.6894637,52
"179","50","Married","1","HS Grad","Information","Yes",71,141.0888744,50
"180","48","Married","1","College Grad","Industrial","Yes",69,123.0896998,48
"181","47","Married","1","HS Grad","Industrial","Yes",70,129.4536446,47
"182","27","Married","1","College Grad","Industrial","Yes",70,111.7208494,27
"183","39","Married","1","HS Grad","Industrial","Yes",70,103.9024706,39
"184","44","Married","2","HS Grad","Information","Yes",73,118.8843593,44
"185","37","Married","2","Some College","Industrial","Yes",76,151.5914842,37
"186","52","Married","1","HS Grad","Industrial","No",68,101.8243521,52
"187","26","Never Married","3","Some College","Industrial","Yes",68,99.6894637,26
"188","39","Married","3","Advanced Degree","Industrial","Yes",70,99.6894637,39
"189","25","Married","2","HS Grad","Industrial","No",68,99.6894637,25
"190","31","Never Married","1","College Grad","Information","No",69,94.07271475,31
"191","58","Married","1","Some College","Industrial","Yes",74,152.2168068,58
"192","30","Married","1","College Grad","Information","Yes",73,104.9215065,30
"193","27","Married","1","< HS Grad","Industrial","Yes",73,65.11085372,27
"194","40","Divorced","1","HS Grad","Industrial","Yes",76,95.23071257,40
"195","55","Married","1","Advanced Degree","Industrial","Yes",69,173.8794933,55
"196","35","Married","3","Advanced Degree","Information","Yes",66,193.4110705,35
"197","48","Married","1","HS Grad","Industrial","No",66,114.4757133,48
"198","29","Never Married","3","College Grad","Industrial","Yes",71,160.6424754,29
"199","25","Never Married","1","Some College","Industrial","Yes",69,89.49247952,25
"200","40","Married","1","Some College","Industrial","Yes",67,120.5894365,40
"201","27","Married","1","< HS Grad","Information","No",66,73.77574327,27
"202","44","Married","1","HS Grad","Information","Yes",67,127.1157438,44
"203","49","Married","1","Some College","Information","Yes",73,118.8843593,49
"204","22","Never Married","1","Some College","Industrial","No",70,34.60741773,22
"205","45","Married","1","Some College","Industrial","Yes",72,114.4757133,45
"206","33","Married","1","Some College","Industrial","No",72,85.38394038,33
"207","63","Married","2","Advanced Degree","Information","Yes",71,318.3424301,63
"208","49","Never Married","2","College Grad","Industrial","Yes",72,141.7751723,49
"209","39","Never Married","1","Advanced Degree","Information","Yes",70,130.9821774,39
"210","25","Never Married","4","< HS Grad","Industrial","No",70,73.77574327,25
"211","29","Never Married","1","Advanced Degree","Information","Yes",73,130.9821774,29
"212","37","Married","1","HS Grad","Industrial","Yes",67,75.04315402,37
"213","35","Married","1","Advanced Degree","Information","Yes",68,154.9902603,35
"214","46","Married","1","HS Grad","Industrial","Yes",66,104.9215065,46
"215","58","Married","1","College Grad","Industrial","Yes",65,73.11830692,58
"216","39","Married","1","Advanced Degree","Industrial","Yes",71,123.0896998,39
"217","41","Married","1","College Grad","Information","Yes",65,157.7005277,41
"218","29","Married","2","College Grad","Information","Yes",66,81.28325328,29
"219","37","Married","1","College Grad","Information","Yes",75,107.2560621,37
"220","62","Married","1","HS Grad","Information","No",65,78.98167452,62
"221","27","Never Married","2","HS Grad","Industrial","Yes",71,73.77574327,27
"222","37","Married","1","HS Grad","Industrial","Yes",69,94.07271475,37
"223","56","Separated","3","College Grad","Information","No",69,99.6894637,56
"224","36","Married","1","Some College","Information","Yes",71,176.9896505,36
"225","23","Never Married","4","HS Grad","Information","No",73,73.77574327,23
"226","46","Married","1","Some College","Information","Yes",62,99.6894637,46
"227","26","Never Married","1","Some College","Industrial","No",69,94.07271475,26
"228","43","Married","1","< HS Grad","Information","Yes",70,95.23071257,43
"229","36","Married","1","HS Grad","Information","Yes",71,127.1157438,36
"230","54","Separated","1","Some College","Information","Yes",68,99.6894637,54
"231","62","Married","1","HS Grad","Industrial","Yes",67,95.68881191,62
"232","40","Married","1","HS Grad","Industrial","Yes",72,109.8339856,40
"233","53","Married","1","Some College","Industrial","Yes",71,118.8843593,53
"234","48","Married","1","Advanced Degree","Information","Yes",67,176.9896505,48
"235","23","Married","1","College Grad","Industrial","No",65,61.18752643,23
"236","34","Married","1","HS Grad","Industrial","Yes",70,81.28325328,34
"237","43","Married","1","College Grad","Information","No",66,256.4006496,43
"238","55","Married","1","HS Grad","Information","Yes",69,81.28325328,55
"239","59","Never Married","1","HS Grad","Information","Yes",72,81.28325328,59
"240","60","Married","1","HS Grad","Information","No",72,55.76739051,60
"241","49","Never Married","1","HS Grad","Industrial","Yes",67,75.35567932,49
"242","45","Married","3","Some College","Industrial","Yes",68,130.9821774,45
"243","31","Divorced","1","HS Grad","Industrial","No",72,43.73511168,31
"244","34","Never Married","1","College Grad","Information","Yes",67,114.4757133,34
"245","26","Never Married","1","Advanced Degree","Information","Yes",71,114.4757133,26
"246","22","Never Married","1","HS Grad","Industrial","No",70,81.28325328,22
"247","40","Married","1","HS Grad","Information","No",70,68.5721657,40
"248","41","Married","1","Some College","Information","Yes",70,109.8339856,41
"249","36","Never Married","2","Some College","Industrial","Yes",67,97.49329405,36
"250","38","Married","1","< HS Grad","Industrial","No",63,62.39835472,38
"251","48","Married","1","HS Grad","Industrial","No",71,97.49329405,48
"252","47","Married","1","Some College","Information","Yes",70,134.7053751,47
"253","47","Separated","1","< HS Grad","Industrial","No",73,61.18752643,47
"254","35","Married","1","College Grad","Information","No",67,118.8843593,35
"255","49","Married","3","HS Grad","Information","Yes",66,65.11085372,49
"256","40","Married","1","Some College","Information","Yes",67,109.8339856,40
"257","32","Widowed","3","College Grad","Industrial","No",68,104.9215065,32
"258","57","Married","1","College Grad","Industrial","Yes",67,73.77574327,57
"259","56","Married","1","College Grad","Industrial","Yes",71,141.7751723,56
"260","73","Married","1","< HS Grad","Industrial","No",68,90.48191336,73
"261","29","Never Married","1","HS Grad","Industrial","Yes",67,73.77574327,29
"262","49","Married","3","Advanced Degree","Industrial","Yes",69,134.7053751,49
"263","30","Never Married","1","HS Grad","Industrial","Yes",68,109.8339856,30
"264","29","Married","1","HS Grad","Industrial","Yes",71,91.69922611,29
"265","36","Married","1","Some College","Information","No",70,95.23071257,36
"266","39","Married","1","Advanced Degree","Information","Yes",67,156.5035109,39
"267","48","Married","1","College Grad","Information","Yes",68,104.9215065,48
"268","45","Married","2","College Grad","Industrial","Yes",67,99.6894637,45
"269","50","Married","1","College Grad","Industrial","No",70,54.59815003,50
"270","42","Married","1","College Grad","Information","Yes",68,32.36641317,42
"271","58","Married","1","Some College","Industrial","No",69,118.8843593,58
"272","48","Married","1","HS Grad","Industrial","Yes",71,109.8339856,48
"273","48","Married","1","College Grad","Industrial","Yes",69,109.8339856,48
"274","45","Married","1","Some College","Information","Yes",68,118.8843593,45
"275","41","Divorced","1","Some College","Industrial","Yes",75,110.7826503,41
"276","27","Never Married","1","HS Grad","Industrial","Yes",74,93.55726735,27
"277","44","Married","1","HS Grad","Information","Yes",71,109.8339856,44
"278","32","Married","1","College Grad","Information","Yes",67,118.8843593,32
"279","46","Married","1","< HS Grad","Information","Yes",71,118.8843593,46
"280","52","Married","2","HS Grad","Information","No",70,52.15617117,52
"281","22","Never Married","1","Some College","Industrial","No",70,43.73511168,22
"282","53","Widowed","1","HS Grad","Industrial","Yes",70,117.1468169,53
"283","34","Married","1","Advanced Degree","Industrial","Yes",72,118.8843593,34
"284","38","Married","1","HS Grad","Industrial","Yes",71,148.4131591,38
"285","42","Married","1","< HS Grad","Information","Yes",68,101.8243521,42
"286","25","Never Married","2","Some College","Information","Yes",68,94.07271475,25
"287","29","Never Married","1","Some College","Industrial","Yes",69,86.69515483,29
"288","28","Married","1","Advanced Degree","Information","Yes",71,141.7751723,28
"289","46","Married","1","College Grad","Industrial","Yes",67,66.96164432,46
"290","55","Married","2","Advanced Degree","Information","Yes",65,118.8843593,55
"291","56","Married","1","HS Grad","Industrial","No",71,105.7676396,56
"292","41","Divorced","2","HS Grad","Information","Yes",73,118.8843593,41
"293","61","Married","1","Advanced Degree","Information","No",66,176.9896505,61
"294","47","Married","1","HS Grad","Information","Yes",64,65.11085372,47
"295","52","Married","1","Some College","Industrial","Yes",64,85.38394038,52
"296","27","Married","1","HS Grad","Industrial","No",69,72.15045568,27
"297","33","Never Married","2","Some College","Information","Yes",73,89.24288466,33
"298","58","Never Married","1","HS Grad","Information","Yes",69,65.11085372,58
"299","27","Married","1","College Grad","Industrial","Yes",69,145.8051634,27
"300","52","Separated","2","HS Grad","Industrial","Yes",71,87.98103279,52
"301","45","Married","1","Advanced Degree","Industrial","No",72,41.09980363,45
"302","22","Never Married","1","HS Grad","Information","Yes",67,68.3956538,22
"303","25","Never Married","1","Some College","Industrial","Yes",67,81.28325328,25
"304","25","Never Married","1","HS Grad","Industrial","Yes",71,73.77574327,25
"305","41","Married","2","< HS Grad","Industrial","Yes",73,130.9821774,41
"306","54","Separated","1","College Grad","Industrial","Yes",68,148.4131591,54
"307","23","Married","1","HS Grad","Industrial","Yes",73,81.22674631,23
"308","36","Never Married","1","Advanced Degree","Industrial","Yes",73,63.188861,36
"309","31","Separated","1","Some College","Industrial","Yes",71,94.07271475,31
"310","52","Married","1","HS Grad","Information","Yes",71,92.65813017,52
"311","46","Married","2","HS Grad","Information","No",71,76.89360252,46
"312","45","Married","1","HS Grad","Industrial","Yes",65,118.8843593,45
"313","40","Married","1","HS Grad","Industrial","No",68,79.85490031,40
"314","33","Never Married","3","College Grad","Information","Yes",68,86.69515483,33
"315","42","Married","1","College Grad","Information","Yes",70,133.9715001,42
"316","41","Married","1","College Grad","Information","Yes",69,125.5254984,41
"317","25","Never Married","4","HS Grad","Industrial","Yes",67,92.89584479,25
"318","24","Divorced","1","HS Grad","Industrial","Yes",72,72.15045568,24
"319","24","Never Married","1","Some College","Industrial","No",71,118.8843593,24
"320","51","Married","1","HS Grad","Information","No",66,70.47601965,51
"321","41","Married","1","HS Grad","Industrial","No",71,127.1157438,41
"322","42","Never Married","1","College Grad","Information","Yes",73,114.4757133,42
"323","30","Never Married","1","College Grad","Industrial","Yes",64,87.98103279,30
"324","55","Married","3","< HS Grad","Industrial","No",70,54.59815003,55
"325","23","Never Married","1","HS Grad","Industrial","Yes",66,84.04595765,23
"326","60","Divorced","1","College Grad","Information","No",69,85.38394038,60
"327","40","Married","3","Advanced Degree","Information","Yes",70,141.7751723,40
"328","41","Never Married","1","HS Grad","Information","Yes",71,110.7826503,41
"329","80","Married","1","HS Grad","Information","Yes",74,79.85490031,80
"330","53","Married","1","HS Grad","Information","Yes",67,97.49329405,53
"331","40","Never Married","1","HS Grad","Industrial","No",71,171.7651326,40
"332","35","Married","1","Some College","Industrial","Yes",65,137.4812478,35
"333","55","Married","1","< HS Grad","Industrial","Yes",66,75.35567932,55
"334","24","Never Married","1","HS Grad","Information","Yes",68,73.77574327,24
"335","39","Married","1","College Grad","Information","Yes",70,148.4131591,39
"336","30","Married","1","Advanced Degree","Industrial","Yes",72,95.23071257,30
"337","68","Married","1","HS Grad","Industrial","Yes",73,87.98103279,68
"338","54","Married","2","HS Grad","Information","Yes",71,109.8339856,54
"339","27","Never Married","1","College Grad","Industrial","No",69,81.28325328,27
"340","34","Married","1","HS Grad","Industrial","Yes",70,118.8843593,34
"341","53","Married","1","Advanced Degree","Information","Yes",69,127.1157438,53
"342","48","Married","2","Advanced Degree","Information","No",73,85.38394038,48
"343","59","Married","1","HS Grad","Industrial","Yes",70,81.28325328,59
"344","30","Married","1","Some College","Industrial","No",66,118.8843593,30
"345","45","Married","1","Advanced Degree","Information","Yes",71,163.515864,45
"346","39","Married","4","College Grad","Information","Yes",66,104.9215065,39
"347","45","Married","3","College Grad","Industrial","No",68,99.6894637,45
"348","43","Married","1","Advanced Degree","Information","Yes",65,281.7459706,43
"349","30","Never Married","2","Advanced Degree","Information","Yes",70,138.2991269,30
"350","57","Married","1","College Grad","Information","Yes",70,176.9896505,57
"351","53","Married","1","College Grad","Information","Yes",72,136.8763676,53
"352","42","Married","1","College Grad","Information","Yes",62,186.8766776,42
"353","23","Never Married","1","HS Grad","Industrial","No",72,90.48191336,23
"354","58","Married","1","HS Grad","Industrial","No",71,85.38394038,58
"355","43","Married","1","< HS Grad","Industrial","Yes",69,145.1436012,43
"356","33","Divorced","1","Advanced Degree","Information","Yes",67,120.5894365,33
"357","56","Married","1","College Grad","Information","Yes",71,101.8243521,56
"358","37","Married","2","College Grad","Industrial","No",67,108.8745258,37
"359","41","Divorced","1","Advanced Degree","Industrial","No",69,38.60591452,41
"360","33","Married","1","Some College","Information","Yes",71,92.89584479,33
"361","50","Never Married","1","Advanced Degree","Information","Yes",68,126.3238807,50
"362","43","Married","1","Advanced Degree","Information","Yes",69,191.5736835,43
"363","53","Married","1","College Grad","Industrial","Yes",68,155.9005061,53
"364","37","Widowed","1","Some College","Information","Yes",68,87.98103279,37
"365","20","Never Married","2","Some College","Information","No",70,59.09706408,20
"366","26","Never Married","1","Some College","Industrial","Yes",70,73.77574327,26
"367","29","Divorced","1","College Grad","Information","No",68,90.48191336,29
"368","57","Married","1","College Grad","Information","Yes",70,118.8843593,57
"369","47","Married","1","Some College","Information","Yes",72,151.5914842,47
"370","54","Married","1","Advanced Degree","Industrial","No",69,272.2947832,54
"371","38","Married","1","< HS Grad","Industrial","No",75,97.49329405,38
"372","23","Never Married","1","Some College","Industrial","No",71,68.11199407,23
"373","31","Married","1","HS Grad","Information","Yes",69,127.1157438,31
"374","43","Married","1","College Grad","Information","Yes",71,272.2947832,43
"375","33","Married","1","Advanced Degree","Information","No",64,111.7208494,33
"376","48","Married","1","HS Grad","Industrial","Yes",73,127.1157438,48
"377","33","Married","1","HS Grad","Industrial","Yes",68,87.98103279,33
"378","52","Married","1","College Grad","Information","Yes",71,114.4757133,52
"379","30","Never Married","2","Some College","Information","No",74,69.79153085,30
"380","44","Married","1","HS Grad","Industrial","Yes",71,94.07271475,44
"381","38","Married","1","HS Grad","Information","Yes",75,127.273347,38
"382","51","Married","1","HS Grad","Industrial","Yes",68,160.6424754,51
"383","47","Married","1","Some College","Industrial","Yes",72,171.7651326,47
"384","28","Married","1","College Grad","Information","Yes",70,141.7751723,28
"385","52","Divorced","1","Some College","Information","Yes",72,115.3750386,52
"386","23","Never Married","1","< HS Grad","Industrial","No",72,72.15045568,23
"387","65","Married","1","< HS Grad","Industrial","No",69,73.77574327,65
"388","27","Never Married","1","College Grad","Industrial","Yes",69,127.1157438,27
"389","33","Married","1","< HS Grad","Information","No",73,20.93437794,33
"390","49","Married","1","HS Grad","Industrial","Yes",70,79.85490031,49
"391","27","Never Married","1","Some College","Industrial","Yes",69,102.8702469,27
"392","48","Divorced","1","HS Grad","Industrial","Yes",67,115.3750386,48
"393","38","Never Married","1","Some College","Industrial","Yes",73,97.49329405,38
"394","58","Married","1","Some College","Industrial","No",69,104.9215065,58
"395","40","Married","3","Advanced Degree","Industrial","No",70,115.3750386,40
"396","46","Married","1","HS Grad","Industrial","No",64,93.48669204,46
"397","53","Married","2","Some College","Information","Yes",71,123.0896998,53
"398","25","Never Married","2","Advanced Degree","Information","Yes",72,118.8843593,25
"399","42","Married","1","Some College","Information","Yes",65,96.37065283,42
"400","40","Never Married","1","HS Grad","Industrial","Yes",70,84.04595765,40
"401","35","Married","1","HS Grad","Information","Yes",67,127.1157438,35
"402","50","Separated","1","HS Grad","Information","No",68,95.23071257,50
"403","34","Married","1","Some College","Industrial","Yes",71,81.28325328,34
"404","48","Married","1","HS Grad","Information","Yes",67,102.8702469,48
"405","49","Married","1","Advanced Degree","Information","Yes",75,111.7208494,49
"406","41","Married","3","College Grad","Information","No",68,94.07271475,41
"407","37","Married","3","College Grad","Information","Yes",70,127.1157438,37
"408","58","Married","1","Some College","Information","Yes",72,104.9215065,58
"409","28","Never Married","2","HS Grad","Industrial","No",70,68.11199407,28
"410","33","Married","1","HS Grad","Industrial","Yes",71,128.6804882,33
"411","50","Married","1","Some College","Industrial","Yes",68,143.9273594,50
