age,sex,marital,race,education,region,job_class,health_ins,height,daily_wage
57,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,64,176.9896505
25,Male,Never Married,1,< HS Grad,Middle Atlantic,Industrial,No,71,66.22940829
33,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,66,116.2653241
57,Male,Married,1,Advanced Degree,Middle Atlantic,Information,No,71,200.5432623
71,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,68,101.8243521
43,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,64,272.2947832
23,Male,Never Married,1,Some College,Middle Atlantic,Industrial,No,68,35.03342132
30,Male,Never Married,1,Advanced Degree,Middle Atlantic,Information,Yes,77,114.4757133
22,Male,Never Married,2,HS Grad,Middle Atlantic,Information,Yes,68,81.28325328
59,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,69,200.5432623
28,Male,Never Married,3,College Grad,Middle Atlantic,Information,Yes,65,148.4131591
61,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,75,99.6894637
34,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,72,111.7208494
43,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,69,152.838801
54,Male,Married,1,Some College,Middle Atlantic,Industrial,No,72,117.1468169
69,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,72,77.7376033
41,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,66,87.98103279
48,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,76,125.5254984
49,Male,Married,1,Some College,Middle Atlantic,Information,Yes,71,123.336104
42,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,68,158.2946214
37,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,65,200.5432623
55,Male,Married,3,HS Grad,Middle Atlantic,Industrial,Yes,74,99.6894637
21,Male,Never Married,2,HS Grad,Middle Atlantic,Industrial,No,69,70.47601965
58,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,71,94.07271475
31,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,69,81.28325328
25,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,66,81.28325328
32,Male,Never Married,1,Some College,Middle Atlantic,Information,Yes,71,100.7642728
40,Male,Never Married,2,< HS Grad,Middle Atlantic,Information,Yes,60,94.07271475
44,Male,Married,1,Advanced Degree,Middle Atlantic,Information,No,68,99.6894637
60,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,68,268.266292
23,Male,Never Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,69,81.28325328
63,Male,Married,1,HS Grad,Middle Atlantic,Information,No,73,113.5670896
44,Male,Never Married,1,< HS Grad,Middle Atlantic,Industrial,No,73,87.98103279
47,Male,Married,3,Advanced Degree,Middle Atlantic,Information,Yes,67,128.6804882
61,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,75,106.7239776
55,Male,Married,1,Advanced Degree,Middle Atlantic,Information,No,71,66.04469423
24,Male,Never Married,1,< HS Grad,Middle Atlantic,Industrial,No,66,51.52195631
42,Male,Widowed,1,HS Grad,Middle Atlantic,Industrial,Yes,70,85.38394038
25,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,67,76.89360252
34,Male,Divorced,1,HS Grad,Middle Atlantic,Industrial,No,73,90.48191336
53,Male,Married,1,< HS Grad,Middle Atlantic,Information,No,71,68.07642829
53,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,67,130.9821774
70,Male,Married,3,Advanced Degree,Middle Atlantic,Information,No,69,127.901233
47,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,68,131.2245938
46,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,72,99.6894637
33,Male,Divorced,1,< HS Grad,Middle Atlantic,Industrial,Yes,72,76.89360252
34,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,65,107.9039239
22,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,70,81.28325328
74,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,71,99.6894637
40,Male,Married,2,Some College,Middle Atlantic,Information,Yes,73,98.59934386
45,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,65,200.5432623
43,Male,Married,3,College Grad,Middle Atlantic,Information,Yes,74,156.5035109
33,Male,Married,3,College Grad,Middle Atlantic,Information,Yes,68,144.944365
62,Male,Married,2,College Grad,Middle Atlantic,Information,Yes,68,118.8843593
37,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,72,121.4303138
54,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,66,111.7208494
34,Male,Married,1,Some College,Middle Atlantic,Industrial,No,72,68.74808773
50,Male,Never Married,1,College Grad,Middle Atlantic,Information,Yes,69,114.4757133
46,Male,Divorced,1,Some College,Middle Atlantic,Industrial,Yes,72,95.23071257
41,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,No,67,87.98103279
63,Male,Divorced,2,Some College,Middle Atlantic,Industrial,Yes,71,64.27439722
38,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,69,128.6804882
35,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,65,114.4757133
29,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,69,112.6488963
66,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,70,81.28325328
37,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,72,75.89548482
39,Male,Married,2,HS Grad,Middle Atlantic,Information,Yes,65,112.136923
42,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,72,85.38394038
51,Male,Divorced,1,HS Grad,Middle Atlantic,Industrial,Yes,64,94.07271475
55,Male,Married,3,Advanced Degree,Middle Atlantic,Industrial,Yes,66,114.4757133
51,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,75,176.9896505
38,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,65,276.7784133
49,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,75,101.8243521
42,Male,Married,1,HS Grad,Middle Atlantic,Information,No,70,91.69922611
43,Male,Separated,1,< HS Grad,Middle Atlantic,Information,No,72,86.69515483
38,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,69,162.9464607
59,Male,Married,3,HS Grad,Middle Atlantic,Industrial,Yes,68,139.2137881
57,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,69,95.23071257
25,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,65,66.96164432
49,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,70,131.1943236
41,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,71,90.48191336
38,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,66,114.4757133
61,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,75,79.1280845
49,Male,Divorced,1,HS Grad,Middle Atlantic,Industrial,Yes,70,104.5917379
52,Male,Divorced,1,Advanced Degree,Middle Atlantic,Information,Yes,69,132.4878211
43,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,66,141.7751723
60,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,70,123.0896998
46,Male,Married,3,Advanced Degree,Middle Atlantic,Information,Yes,73,134.7053751
21,Male,Never Married,1,HS Grad,Middle Atlantic,Information,No,67,55.76739051
61,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,64,106.9218141
32,Male,Married,2,Advanced Degree,Middle Atlantic,Information,Yes,69,118.8843593
58,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,68,87.98103279
35,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,64,88.92960664
26,Male,Never Married,2,HS Grad,Middle Atlantic,Information,Yes,69,81.28325328
32,Male,Never Married,2,HS Grad,Middle Atlantic,Industrial,No,68,94.07271475
37,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,76,106.9218141
22,Male,Never Married,3,HS Grad,Middle Atlantic,Industrial,No,72,59.09706408
51,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,64,65.11085372
44,Male,Divorced,1,Advanced Degree,Middle Atlantic,Information,Yes,69,120.5894365
35,Male,Married,3,Advanced Degree,Middle Atlantic,Industrial,Yes,66,157.7005277
60,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,73,129.4536446
40,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,63,176.9896505
35,Male,Never Married,1,< HS Grad,Middle Atlantic,Information,No,71,59.09706408
35,Male,Married,1,Advanced Degree,Middle Atlantic,Information,No,67,94.07271475
47,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,67,134.7053751
43,Male,Never Married,1,College Grad,Middle Atlantic,Information,Yes,69,81.28325328
33,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,67,81.28325328
60,Male,Divorced,1,Advanced Degree,Middle Atlantic,Industrial,Yes,75,153.4575153
38,Male,Married,3,Advanced Degree,Middle Atlantic,Industrial,Yes,71,136.8763676
53,Male,Married,1,HS Grad,Middle Atlantic,Information,No,70,75.04315402
55,Male,Married,1,Some College,Middle Atlantic,Information,Yes,66,130.2208324
57,Male,Married,2,HS Grad,Middle Atlantic,Information,No,67,104.9215065
64,Male,Married,1,College Grad,Middle Atlantic,Information,No,69,49.55533812
43,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,71,123.9085676
35,Male,Married,2,Some College,Middle Atlantic,Information,Yes,73,123.0896998
54,Male,Married,1,HS Grad,Middle Atlantic,Information,No,70,78.15516141
45,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,66,73.77574327
58,Male,Divorced,3,College Grad,Middle Atlantic,Information,Yes,72,138.2991269
48,Male,Married,1,College Grad,Middle Atlantic,Information,No,70,127.1157438
46,Male,Married,3,< HS Grad,Middle Atlantic,Industrial,Yes,69,68.74808773
46,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,69,84.39111475
55,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,68,85.38394038
51,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,64,128.6804882
49,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,68,70.47601965
34,Male,Never Married,1,Some College,Middle Atlantic,Industrial,Yes,70,76.89360252
53,Male,Married,1,Some College,Middle Atlantic,Industrial,No,73,148.4131591
40,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,74,148.4131591
50,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,70,175.9608831
37,Male,Divorced,1,< HS Grad,Middle Atlantic,Information,Yes,71,98.59934386
39,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,72,145.1436012
52,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,66,99.6894637
50,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,71,141.0888744
48,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,69,123.0896998
47,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,70,129.4536446
27,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,70,111.7208494
39,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,70,103.9024706
44,Male,Married,2,HS Grad,Middle Atlantic,Information,Yes,73,118.8843593
37,Male,Married,2,Some College,Middle Atlantic,Industrial,Yes,76,151.5914842
52,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,68,101.8243521
26,Male,Never Married,3,Some College,Middle Atlantic,Industrial,Yes,68,99.6894637
39,Male,Married,3,Advanced Degree,Middle Atlantic,Industrial,Yes,70,99.6894637
25,Male,Married,2,HS Grad,Middle Atlantic,Industrial,No,68,99.6894637
31,Male,Never Married,1,College Grad,Middle Atlantic,Information,No,69,94.07271475
58,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,74,152.2168068
30,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,73,104.9215065
27,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,73,65.11085372
40,Male,Divorced,1,HS Grad,Middle Atlantic,Industrial,Yes,76,95.23071257
55,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,69,173.8794933
35,Male,Married,3,Advanced Degree,Middle Atlantic,Information,Yes,66,193.4110705
48,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,66,114.4757133
29,Male,Never Married,3,College Grad,Middle Atlantic,Industrial,Yes,71,160.6424754
25,Male,Never Married,1,Some College,Middle Atlantic,Industrial,Yes,69,89.49247952
40,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,67,120.5894365
27,Male,Married,1,< HS Grad,Middle Atlantic,Information,No,66,73.77574327
44,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,67,127.1157438
49,Male,Married,1,Some College,Middle Atlantic,Information,Yes,73,118.8843593
22,Male,Never Married,1,Some College,Middle Atlantic,Industrial,No,70,34.60741773
45,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,72,114.4757133
33,Male,Married,1,Some College,Middle Atlantic,Industrial,No,72,85.38394038
63,Male,Married,2,Advanced Degree,Middle Atlantic,Information,Yes,71,318.3424301
49,Male,Never Married,2,College Grad,Middle Atlantic,Industrial,Yes,72,141.7751723
39,Male,Never Married,1,Advanced Degree,Middle Atlantic,Information,Yes,70,130.9821774
25,Male,Never Married,4,< HS Grad,Middle Atlantic,Industrial,No,70,73.77574327
29,Male,Never Married,1,Advanced Degree,Middle Atlantic,Information,Yes,73,130.9821774
37,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,67,75.04315402
35,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,68,154.9902603
46,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,66,104.9215065
58,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,65,73.11830692
39,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,71,123.0896998
41,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,65,157.7005277
29,Male,Married,2,College Grad,Middle Atlantic,Information,Yes,66,81.28325328
37,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,75,107.2560621
62,Male,Married,1,HS Grad,Middle Atlantic,Information,No,65,78.98167452
27,Male,Never Married,2,HS Grad,Middle Atlantic,Industrial,Yes,71,73.77574327
37,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,69,94.07271475
56,Male,Separated,3,College Grad,Middle Atlantic,Information,No,69,99.6894637
36,Male,Married,1,Some College,Middle Atlantic,Information,Yes,71,176.9896505
23,Male,Never Married,4,HS Grad,Middle Atlantic,Information,No,73,73.77574327
46,Male,Married,1,Some College,Middle Atlantic,Information,Yes,62,99.6894637
26,Male,Never Married,1,Some College,Middle Atlantic,Industrial,No,69,94.07271475
43,Male,Married,1,< HS Grad,Middle Atlantic,Information,Yes,70,95.23071257
36,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,71,127.1157438
54,Male,Separated,1,Some College,Middle Atlantic,Information,Yes,68,99.6894637
62,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,67,95.68881191
40,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,72,109.8339856
53,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,71,118.8843593
48,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,67,176.9896505
23,Male,Married,1,College Grad,Middle Atlantic,Industrial,No,65,61.18752643
34,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,70,81.28325328
43,Male,Married,1,College Grad,Middle Atlantic,Information,No,66,256.4006496
55,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,69,81.28325328
59,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,72,81.28325328
60,Male,Married,1,HS Grad,Middle Atlantic,Information,No,72,55.76739051
49,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,67,75.35567932
45,Male,Married,3,Some College,Middle Atlantic,Industrial,Yes,68,130.9821774
31,Male,Divorced,1,HS Grad,Middle Atlantic,Industrial,No,72,43.73511168
34,Male,Never Married,1,College Grad,Middle Atlantic,Information,Yes,67,114.4757133
26,Male,Never Married,1,Advanced Degree,Middle Atlantic,Information,Yes,71,114.4757133
22,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,70,81.28325328
40,Male,Married,1,HS Grad,Middle Atlantic,Information,No,70,68.5721657
41,Male,Married,1,Some College,Middle Atlantic,Information,Yes,70,109.8339856
36,Male,Never Married,2,Some College,Middle Atlantic,Industrial,Yes,67,97.49329405
38,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,No,63,62.39835472
48,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,71,97.49329405
47,Male,Married,1,Some College,Middle Atlantic,Information,Yes,70,134.7053751
47,Male,Separated,1,< HS Grad,Middle Atlantic,Industrial,No,73,61.18752643
35,Male,Married,1,College Grad,Middle Atlantic,Information,No,67,118.8843593
49,Male,Married,3,HS Grad,Middle Atlantic,Information,Yes,66,65.11085372
40,Male,Married,1,Some College,Middle Atlantic,Information,Yes,67,109.8339856
32,Male,Widowed,3,College Grad,Middle Atlantic,Industrial,No,68,104.9215065
57,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,67,73.77574327
56,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,71,141.7751723
73,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,No,68,90.48191336
29,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,67,73.77574327
49,Male,Married,3,Advanced Degree,Middle Atlantic,Industrial,Yes,69,134.7053751
30,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,68,109.8339856
29,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,71,91.69922611
36,Male,Married,1,Some College,Middle Atlantic,Information,No,70,95.23071257
39,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,67,156.5035109
48,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,68,104.9215065
45,Male,Married,2,College Grad,Middle Atlantic,Industrial,Yes,67,99.6894637
50,Male,Married,1,College Grad,Middle Atlantic,Industrial,No,70,54.59815003
42,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,68,32.36641317
58,Male,Married,1,Some College,Middle Atlantic,Industrial,No,69,118.8843593
48,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,71,109.8339856
48,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,69,109.8339856
45,Male,Married,1,Some College,Middle Atlantic,Information,Yes,68,118.8843593
41,Male,Divorced,1,Some College,Middle Atlantic,Industrial,Yes,75,110.7826503
27,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,74,93.55726735
44,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,71,109.8339856
32,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,67,118.8843593
46,Male,Married,1,< HS Grad,Middle Atlantic,Information,Yes,71,118.8843593
52,Male,Married,2,HS Grad,Middle Atlantic,Information,No,70,52.15617117
22,Male,Never Married,1,Some College,Middle Atlantic,Industrial,No,70,43.73511168
53,Male,Widowed,1,HS Grad,Middle Atlantic,Industrial,Yes,70,117.1468169
34,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,72,118.8843593
38,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,71,148.4131591
42,Male,Married,1,< HS Grad,Middle Atlantic,Information,Yes,68,101.8243521
25,Male,Never Married,2,Some College,Middle Atlantic,Information,Yes,68,94.07271475
29,Male,Never Married,1,Some College,Middle Atlantic,Industrial,Yes,69,86.69515483
28,Male,Married,1,Advanced Degree,Middle Atlantic,Information,Yes,71,141.7751723
46,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,67,66.96164432
55,Male,Married,2,Advanced Degree,Middle Atlantic,Information,Yes,65,118.8843593
56,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,71,105.7676396
41,Male,Divorced,2,HS Grad,Middle Atlantic,Information,Yes,73,118.8843593
61,Male,Married,1,Advanced Degree,Middle Atlantic,Information,No,66,176.9896505
47,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,64,65.11085372
52,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,64,85.38394038
27,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,69,72.15045568
33,Male,Never Married,2,Some College,Middle Atlantic,Information,Yes,73,89.24288466
58,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,69,65.11085372
27,Male,Married,1,College Grad,Middle Atlantic,Industrial,Yes,69,145.8051634
52,Male,Separated,2,HS Grad,Middle Atlantic,Industrial,Yes,71,87.98103279
45,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,No,72,41.09980363
22,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,67,68.3956538
25,Male,Never Married,1,Some College,Middle Atlantic,Industrial,Yes,67,81.28325328
25,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,71,73.77574327
41,Male,Married,2,< HS Grad,Middle Atlantic,Industrial,Yes,73,130.9821774
54,Male,Separated,1,College Grad,Middle Atlantic,Industrial,Yes,68,148.4131591
23,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,73,81.22674631
36,Male,Never Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,73,63.188861
31,Male,Separated,1,Some College,Middle Atlantic,Industrial,Yes,71,94.07271475
52,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,71,92.65813017
46,Male,Married,2,HS Grad,Middle Atlantic,Information,No,71,76.89360252
45,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,65,118.8843593
40,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,68,79.85490031
33,Male,Never Married,3,College Grad,Middle Atlantic,Information,Yes,68,86.69515483
42,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,70,133.9715001
41,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,69,125.5254984
25,Male,Never Married,4,HS Grad,Middle Atlantic,Industrial,Yes,67,92.89584479
24,Male,Divorced,1,HS Grad,Middle Atlantic,Industrial,Yes,72,72.15045568
24,Male,Never Married,1,Some College,Middle Atlantic,Industrial,No,71,118.8843593
51,Male,Married,1,HS Grad,Middle Atlantic,Information,No,66,70.47601965
41,Male,Married,1,HS Grad,Middle Atlantic,Industrial,No,71,127.1157438
42,Male,Never Married,1,College Grad,Middle Atlantic,Information,Yes,73,114.4757133
30,Male,Never Married,1,College Grad,Middle Atlantic,Industrial,Yes,64,87.98103279
55,Male,Married,3,< HS Grad,Middle Atlantic,Industrial,No,70,54.59815003
23,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,Yes,66,84.04595765
60,Male,Divorced,1,College Grad,Middle Atlantic,Information,No,69,85.38394038
40,Male,Married,3,Advanced Degree,Middle Atlantic,Information,Yes,70,141.7751723
41,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,71,110.7826503
80,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,74,79.85490031
53,Male,Married,1,HS Grad,Middle Atlantic,Information,Yes,67,97.49329405
40,Male,Never Married,1,HS Grad,Middle Atlantic,Industrial,No,71,171.7651326
35,Male,Married,1,Some College,Middle Atlantic,Industrial,Yes,65,137.4812478
55,Male,Married,1,< HS Grad,Middle Atlantic,Industrial,Yes,66,75.35567932
24,Male,Never Married,1,HS Grad,Middle Atlantic,Information,Yes,68,73.77574327
39,Male,Married,1,College Grad,Middle Atlantic,Information,Yes,70,148.4131591
30,Male,Married,1,Advanced Degree,Middle Atlantic,Industrial,Yes,72,95.23071257
68,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,73,87.98103279
54,Male,Married,2,HS Grad,Middle Atlantic,Information,Yes,71,109.8339856
27,Male,Never Married,1,College Grad,Middle Atlantic,Industrial,No,69,81.28325328
34,Male,Married,1,HS Grad,Middle Atlantic,Industrial,Yes,70,118.8843593
